,Date,Value,roi,roi_Value,roi_Value_percent,Date_year,Date_month,Date_day,month_mean_Value,month_roi
28,2016-10-09,615.65,1,0.9099999999999682,0.14803006148940498,2016,10,9,639.3429032258065,-1
29,2016-10-10,617.54,1,1.8899999999999864,0.306992609437178,2016,10,10,639.3429032258065,-1
30,2016-10-11,614.77,-1,-2.769999999999982,-0.44855393982575736,2016,10,11,639.3429032258065,-1
31,2016-10-12,635.01,1,20.24000000000001,3.2922881728125986,2016,10,12,639.3429032258065,-1
32,2016-10-13,635.96,1,0.9500000000000455,0.14960394324499543,2016,10,13,639.3429032258065,-1
33,2016-10-14,634.02,-1,-1.9400000000000546,-0.3050506321152359,2016,10,14,639.3429032258065,-1
34,2016-10-15,637.94,1,3.9200000000000728,0.6182770259613377,2016,10,15,639.3429032258065,-1
35,2016-10-16,641.42,1,3.4799999999999045,0.5455058469448387,2016,10,16,639.3429032258065,1
36,2016-10-17,638.97,-1,-2.449999999999932,-0.38196501512268594,2016,10,17,639.3429032258065,-1
37,2016-10-18,636.29,-1,-2.6800000000000637,-0.41942501212890493,2016,10,18,639.3429032258065,-1
38,2016-10-19,629.25,-1,-7.039999999999964,-1.1064137421615874,2016,10,19,639.3429032258065,-1
39,2016-10-20,627.72,-1,-1.5299999999999727,-0.24314660309892297,2016,10,20,639.3429032258065,-1
40,2016-10-21,631.92,1,4.199999999999932,0.6690881284649097,2016,10,21,639.3429032258065,-1
41,2016-10-22,655.48,1,23.56000000000006,3.7283200405114667,2016,10,22,639.3429032258065,1
42,2016-10-23,653.25,-1,-2.230000000000018,-0.3402087020198966,2016,10,23,639.3429032258065,1
43,2016-10-24,651.39,-1,-1.8600000000000136,-0.28473019517795845,2016,10,24,639.3429032258065,1
44,2016-10-25,655.31,1,3.919999999999959,0.6017900182686193,2016,10,25,639.3429032258065,1
45,2016-10-26,651.45,-1,-3.8599999999999,-0.5890341975553403,2016,10,26,639.3429032258065,1
46,2016-10-27,682.22,1,30.769999999999982,4.723309540256348,2016,10,27,639.3429032258065,1
47,2016-10-28,687.68,1,5.459999999999923,0.8003283398317145,2016,10,28,639.3429032258065,1
48,2016-10-29,685.91,-1,-1.7699999999999818,-0.25738715681712165,2016,10,29,639.3429032258065,1
49,2016-10-30,698.0,1,12.090000000000032,1.762621918327482,2016,10,30,639.3429032258065,1
50,2016-10-31,702.0,1,4.0,0.5730659025787965,2016,10,31,639.3429032258065,1
51,2016-11-01,697.01,-1,-4.990000000000009,-0.7108262108262121,2016,11,1,721.5323333333333,-1
52,2016-11-02,733.33,1,36.32000000000005,5.210829112925216,2016,11,2,721.5323333333333,1
53,2016-11-03,686.17,-1,-47.16000000000008,-6.430938322446932,2016,11,3,721.5323333333333,-1
54,2016-11-04,683.69,-1,-2.4799999999999045,-0.36142646865935624,2016,11,4,721.5323333333333,-1
55,2016-11-05,704.79,1,21.09999999999991,3.0861940353083863,2016,11,5,721.5323333333333,-1
56,2016-11-06,712.0,1,7.210000000000036,1.0229997587934045,2016,11,6,721.5323333333333,-1
57,2016-11-07,709.96,-1,-2.0399999999999636,-0.28651685393257914,2016,11,7,721.5323333333333,-1
58,2016-11-08,708.97,-1,-0.9900000000000091,-0.13944447574511368,2016,11,8,721.5323333333333,-1
59,2016-11-09,720.93,1,11.959999999999923,1.686954314004813,2016,11,9,721.5323333333333,-1
60,2016-11-10,721.5,1,0.57000000000005,0.07906454163373006,2016,11,10,721.5323333333333,-1
61,2016-11-11,715.45,-1,-6.0499999999999545,-0.8385308385308323,2016,11,11,721.5323333333333,-1
62,2016-11-12,703.71,-1,-11.740000000000009,-1.6409252917744088,2016,11,12,721.5323333333333,-1
63,2016-11-13,702.28,-1,-1.4300000000000637,-0.2032087081326205,2016,11,13,721.5323333333333,-1
64,2016-11-14,706.46,1,4.180000000000064,0.5952041920601561,2016,11,14,721.5323333333333,-1
65,2016-11-15,710.91,1,4.449999999999932,0.6299011975200197,2016,11,15,721.5323333333333,-1
66,2016-11-16,711.73,1,0.82000000000005,0.11534512104205173,2016,11,16,721.5323333333333,-1
67,2016-11-17,736.96,1,25.230000000000018,3.5448835934975365,2016,11,17,721.5323333333333,1
68,2016-11-18,747.52,1,10.559999999999945,1.4329135909682946,2016,11,18,721.5323333333333,1
69,2016-11-19,748.98,1,1.4600000000000364,0.19531250000000486,2016,11,19,721.5323333333333,1
70,2016-11-20,729.06,-1,-19.920000000000073,-2.6596170792277594,2016,11,20,721.5323333333333,1
71,2016-11-21,738.53,1,9.470000000000027,1.2989328724659188,2016,11,21,721.5323333333333,1
72,2016-11-22,736.97,-1,-1.5599999999999454,-0.21123041718006655,2016,11,22,721.5323333333333,1
73,2016-11-23,741.63,1,4.659999999999968,0.6323188189478497,2016,11,23,721.5323333333333,1
74,2016-11-24,737.45,-1,-4.17999999999995,-0.5636233701441352,2016,11,24,721.5323333333333,1
75,2016-11-25,735.64,-1,-1.8100000000000591,-0.24544036883857334,2016,11,25,721.5323333333333,1
76,2016-11-26,733.67,-1,-1.9700000000000273,-0.2677940296884383,2016,11,26,721.5323333333333,1
77,2016-11-27,727.96,-1,-5.709999999999923,-0.7782790627938887,2016,11,27,721.5323333333333,1
78,2016-11-28,727.31,-1,-0.650000000000091,-0.08929062036376874,2016,11,28,721.5323333333333,1
79,2016-11-29,732.71,1,5.400000000000091,0.7424619488251353,2016,11,29,721.5323333333333,1
80,2016-11-30,742.69,1,9.980000000000018,1.3620668477296636,2016,11,30,721.5323333333333,1
81,2016-12-01,742.05,-1,-0.6400000000001,-0.08617323513176427,2016,12,1,819.8580645161289,-1
82,2016-12-02,772.43,1,30.379999999999995,4.094063742335422,2016,12,2,819.8580645161289,-1
83,2016-12-03,764.33,-1,-8.099999999999909,-1.0486387115984503,2016,12,3,819.8580645161289,-1
84,2016-12-04,762.97,-1,-1.3600000000000136,-0.17793361506155894,2016,12,4,819.8580645161289,-1
85,2016-12-05,754.63,-1,-8.340000000000032,-1.093096714156524,2016,12,5,819.8580645161289,-1
86,2016-12-06,756.62,1,1.990000000000009,0.26370539204643456,2016,12,6,819.8580645161289,-1
87,2016-12-07,758.99,1,2.3700000000000045,0.3132351774999345,2016,12,7,819.8580645161289,-1
88,2016-12-08,769.72,1,10.730000000000018,1.4137208658875635,2016,12,8,819.8580645161289,-1
89,2016-12-09,770.02,1,0.2999999999999545,0.038975211765311345,2016,12,9,819.8580645161289,-1
90,2016-12-10,769.08,-1,-0.9399999999999409,-0.12207475130515323,2016,12,10,819.8580645161289,-1
91,2016-12-11,777.0,1,7.919999999999959,1.029801841160862,2016,12,11,819.8580645161289,-1
92,2016-12-12,777.0,0,0.0,0.0,2016,12,12,819.8580645161289,-1
93,2016-12-13,777.99,1,0.9900000000000091,0.12741312741312857,2016,12,13,819.8580645161289,-1
94,2016-12-14,774.89,-1,-3.1000000000000227,-0.398462705176162,2016,12,14,819.8580645161289,-1
95,2016-12-15,776.75,1,1.8600000000000136,0.24003406935178073,2016,12,15,819.8580645161289,-1
96,2016-12-16,775.88,-1,-0.8700000000000045,-0.11200514966205402,2016,12,16,819.8580645161289,-1
97,2016-12-17,788.7,1,12.82000000000005,1.652317368665264,2016,12,17,819.8580645161289,-1
98,2016-12-18,788.4,-1,-0.3000000000000682,-0.03803727653100903,2016,12,18,819.8580645161289,-1
99,2016-12-19,788.67,1,0.2699999999999818,0.03424657534246345,2016,12,19,819.8580645161289,-1
100,2016-12-20,793.09,1,4.420000000000073,0.5604371917278549,2016,12,20,819.8580645161289,-1
101,2016-12-21,824.21,1,31.120000000000005,3.9238926225270783,2016,12,21,819.8580645161289,1
102,2016-12-22,834.97,1,10.759999999999991,1.305492532242995,2016,12,22,819.8580645161289,1
103,2016-12-23,901.31,1,66.33999999999992,7.945195635771335,2016,12,23,819.8580645161289,1
104,2016-12-24,891.61,-1,-9.699999999999932,-1.07621129245209,2016,12,24,819.8580645161289,1
105,2016-12-25,892.6,1,0.9900000000000091,0.11103509381904747,2016,12,25,819.8580645161289,1
106,2016-12-26,897.33,1,4.730000000000018,0.529912614833074,2016,12,26,819.8580645161289,1
107,2016-12-27,930.37,1,33.039999999999964,3.6820344800686438,2016,12,27,819.8580645161289,1
108,2016-12-28,930.34,-1,-0.029999999999972715,-0.0032245235766386183,2016,12,28,819.8580645161289,1
109,2016-12-29,963.38,1,33.039999999999964,3.5513898144764235,2016,12,29,819.8580645161289,1
110,2016-12-30,952.15,-1,-11.230000000000018,-1.1656874753472168,2016,12,30,819.8580645161289,1
111,2016-12-31,958.12,1,5.970000000000027,0.627002047996642,2016,12,31,819.8580645161289,1
112,2017-01-01,997.72,1,39.60000000000002,4.13309397570242,2017,1,1,913.6590451612904,1
113,2017-01-02,1015.97,1,18.25,1.8291705087599728,2017,1,2,913.6590451612904,1
114,2017-01-03,1013.42,-1,-2.550000000000068,-0.2509916631396663,2017,1,3,913.6590451612904,1
115,2017-01-04,1126.76,1,113.34000000000003,11.18391190227152,2017,1,4,913.6590451612904,1
116,2017-01-05,994.67,-1,-132.09000000000003,-11.722993361496684,2017,1,5,913.6590451612904,1
117,2017-01-06,999.65,1,4.980000000000018,0.5006685634431539,2017,1,6,913.6590451612904,1
118,2017-01-07,896.83,-1,-102.81999999999994,-10.285599959985989,2017,1,7,913.6590451612904,-1
119,2017-01-08,908.14,1,11.309999999999945,1.2611085713011323,2017,1,8,913.6590451612904,-1
120,2017-01-09,910.49,1,2.3500000000000227,0.2587706741251374,2017,1,9,913.6590451612904,-1
121,2017-01-10,906.05,-1,-4.440000000000055,-0.4876495074081049,2017,1,10,913.6590451612904,-1
122,2017-01-11,785.22,-1,-120.82999999999993,-13.335908614314876,2017,1,11,913.6590451612904,-1
123,2017-01-12,780.92,-1,-4.300000000000068,-0.5476172282927165,2017,1,12,913.6590451612904,-1
124,2017-01-13,826.29,1,45.370000000000005,5.809814065461252,2017,1,13,913.6590451612904,-1
125,2017-01-14,817.91,-1,-8.379999999999995,-1.0141717798835754,2017,1,14,913.6590451612904,-1
126,2017-01-15,819.55,1,1.6399999999999864,0.20051105867393554,2017,1,15,913.6590451612904,-1
127,2017-01-16,830.5,1,10.950000000000045,1.3360990787627414,2017,1,16,913.6590451612904,-1
128,2017-01-17,903.84,1,73.34000000000003,8.83082480433474,2017,1,17,913.6590451612904,-1
129,2017-01-18,906.6,1,2.759999999999991,0.3053637812002114,2017,1,18,913.6590451612904,-1
130,2017-01-19,895.798875,-1,-10.80112500000007,-1.1913881535407091,2017,1,19,913.6590451612904,-1
131,2017-01-20,893.6210875,-1,-2.1777874999999085,-0.24311121176613543,2017,1,20,913.6590451612904,-1
132,2017-01-21,895.64,1,2.018912499999942,0.2259248945935312,2017,1,21,913.6590451612904,-1
133,2017-01-22,918.603625,1,22.96362499999998,2.563934728239022,2017,1,22,913.6590451612904,1
134,2017-01-23,922.0736125,1,3.469987500000002,0.3777458966591823,2017,1,23,913.6590451612904,1
135,2017-01-24,919.97,-1,-2.10361249999994,-0.22813932331242592,2017,1,24,913.6590451612904,1
136,2017-01-25,893.045625,-1,-26.924375000000055,-2.92665793449787,2017,1,25,913.6590451612904,-1
137,2017-01-26,915.95625,1,22.910624999999982,2.5654484338356154,2017,1,26,913.6590451612904,1
138,2017-01-27,915.05,-1,-0.90625,-0.09894031510784494,2017,1,27,913.6590451612904,1
139,2017-01-28,920.31225,1,5.2622499999999945,0.5750778645975624,2017,1,28,913.6590451612904,1
140,2017-01-29,915.933,-1,-4.379249999999956,-0.475843932317532,2017,1,29,913.6590451612904,1
141,2017-01-30,912.19,-1,-3.742999999999938,-0.40865434480468965,2017,1,30,913.6590451612904,-1
142,2017-01-31,964.706075,1,52.516075,5.7571421524024595,2017,1,31,913.6590451612904,1
143,2017-02-01,979.703875,1,14.997799999999984,1.554649689544039,2017,2,1,1057.745139,-1
144,2017-02-02,983.42,1,3.71612499999992,0.37931104437041446,2017,2,2,1057.745139,-1
145,2017-02-03,1013.027,1,29.607000000000085,3.010616013503903,2017,2,3,1057.745139,-1
146,2017-02-04,1030.999413,1,17.97241299999996,1.7741297122386628,2017,2,4,1057.745139,-1
147,2017-02-05,1034.07,1,3.0705869999999322,0.2978262607410362,2017,2,5,1057.745139,-1
148,2017-02-06,1024.01375,-1,-10.056249999999864,-0.9724921910508829,2017,2,6,1057.745139,-1
149,2017-02-07,1050.11,1,26.096249999999827,2.548427694452328,2017,2,7,1057.745139,-1
150,2017-02-08,1052.84,1,2.730000000000018,0.2599727647579795,2017,2,8,1057.745139,-1
151,2017-02-09,976.103,-1,-76.73699999999997,-7.288571862771169,2017,2,9,1057.745139,-1
152,2017-02-10,999.1035,1,23.000500000000102,2.356359933326719,2017,2,10,1057.745139,-1
153,2017-02-11,997.59,-1,-1.5135000000000218,-0.15148580702600098,2017,2,11,1057.745139,-1
154,2017-02-12,1000.604625,1,3.0146250000000236,0.3021907797792704,2017,2,12,1057.745139,-1
155,2017-02-13,999.877375,-1,-0.7272500000000264,-0.07268105521699206,2017,2,13,1057.745139,-1
156,2017-02-14,1001.2,1,1.3226250000000164,0.1322787206781248,2017,2,14,1057.745139,-1
157,2017-02-15,1012.325988,1,11.125988000000007,1.111265281662006,2017,2,15,1057.745139,-1
158,2017-02-16,1035.208125,1,22.882137000000057,2.260352620721227,2017,2,16,1057.745139,-1
159,2017-02-17,1035.2,-1,-0.008125000000063665,-0.0007848663282143059,2017,2,17,1057.745139,-1
160,2017-02-18,1056.637138,1,21.437138000000004,2.070820904173107,2017,2,18,1057.745139,-1
161,2017-02-19,1052.779286,-1,-3.8578520000000935,-0.36510660672993434,2017,2,19,1057.745139,-1
162,2017-02-20,1050.87,-1,-1.9092860000000655,-0.18135672171650855,2017,2,20,1057.745139,-1
163,2017-02-21,1123.788429,1,72.91842900000006,6.9388629421336665,2017,2,21,1057.745139,1
164,2017-02-22,1123.223188,-1,-0.5652410000000145,-0.05029781277450888,2017,2,22,1057.745139,1
165,2017-02-23,1130.01,1,6.7868120000000545,0.6042264861077685,2017,2,23,1057.745139,1
166,2017-02-24,1174.86625,1,44.856250000000045,3.9695445173051604,2017,2,24,1057.745139,1
167,2017-02-25,1150.605714,-1,-24.260536000000002,-2.064961522215827,2017,2,25,1057.745139,1
168,2017-02-26,1150.37,-1,-0.23571400000014364,-0.020486079386890968,2017,2,26,1057.745139,1
169,2017-02-27,1190.75195,1,40.38195000000019,3.510344497857228,2017,2,27,1057.745139,1
170,2017-02-28,1187.565286,-1,-3.1866640000000643,-0.2676177855513958,2017,2,28,1057.745139,1
171,2017-03-01,1190.89,1,3.3247140000000854,0.27996052420818957,2017,3,1,1133.3178049774194,1
172,2017-03-02,1259.410817,1,68.52081699999985,5.753748624977945,2017,3,2,1133.3178049774194,1
173,2017-03-03,1285.14,1,25.72918300000015,2.0429539474092153,2017,3,3,1133.3178049774194,1
174,2017-03-04,1287.0,1,1.8599999999999,0.1447313133199418,2017,3,4,1133.3178049774194,1
175,2017-03-05,1270.9333,-1,-16.066700000000083,-1.2483838383838448,2017,3,5,1133.3178049774194,1
176,2017-03-06,1275.197375,1,4.264075000000048,0.3355073787113807,2017,3,6,1133.3178049774194,1
177,2017-03-07,1279.5,1,4.302625000000035,0.33740855214668514,2017,3,7,1133.3178049774194,1
178,2017-03-08,1157.3933,-1,-122.10670000000005,-9.543313794450961,2017,3,8,1133.3178049774194,1
179,2017-03-09,1192.469143,1,35.07584300000008,3.03058977445265,2017,3,9,1133.3178049774194,1
180,2017-03-10,1192.09,-1,-0.3791430000001128,-0.03179478498255051,2017,3,10,1133.3178049774194,1
181,2017-03-11,1179.159875,-1,-12.930124999999862,-1.0846601347213602,2017,3,11,1133.3178049774194,1
182,2017-03-12,1227.494625,1,48.334749999999985,4.0990836802346236,2017,3,12,1133.3178049774194,1
183,2017-03-13,1227.68,1,0.18537500000002183,0.015101899122370643,2017,3,13,1133.3178049774194,1
184,2017-03-14,1245.370786,1,17.69078599999989,1.4409932555714755,2017,3,14,1133.3178049774194,1
185,2017-03-15,1257.399625,1,12.028839000000062,0.9658841475345209,2017,3,15,1133.3178049774194,1
186,2017-03-16,1257.0,-1,-0.39962500000001455,-0.03178186091792532,2017,3,16,1133.3178049774194,1
187,2017-03-17,1091.171888,-1,-165.82811199999992,-13.192371678599834,2017,3,17,1133.3178049774194,-1
188,2017-03-18,952.2323625,-1,-138.93952550000006,-12.73305581164313,2017,3,18,1133.3178049774194,-1
189,2017-03-19,967.69,1,15.457637500000033,1.6233052045634535,2017,3,19,1133.3178049774194,-1
190,2017-03-20,1049.084488,1,81.39448799999991,8.411215161880344,2017,3,20,1133.3178049774194,-1
191,2017-03-21,1118.630043,1,69.54555499999992,6.629166267874502,2017,3,21,1133.3178049774194,-1
192,2017-03-22,1113.0,-1,-5.630042999999887,-0.5032980327348393,2017,3,22,1133.3178049774194,-1
193,2017-03-23,1038.789,-1,-74.21100000000001,-6.667654986522913,2017,3,23,1133.3178049774194,-1
194,2017-03-24,941.9197143,-1,-96.86928569999998,-9.325212887313976,2017,3,24,1133.3178049774194,-1
195,2017-03-25,927.93,-1,-13.98971430000006,-1.485234260161621,2017,3,25,1133.3178049774194,-1
196,2017-03-26,956.7863125,1,28.856312500000058,3.109751004924947,2017,3,26,1133.3178049774194,-1
197,2017-03-27,1037.22925,1,80.44293750000008,8.407617923568496,2017,3,27,1133.3178049774194,-1
198,2017-03-28,1041.04,1,3.810749999999871,0.3673970821783006,2017,3,28,1133.3178049774194,-1
199,2017-03-29,1040.5755,-1,-0.46450000000004366,-0.04461884269576997,2017,3,29,1133.3178049774194,-1
200,2017-03-30,1037.90455,-1,-2.670949999999948,-0.2566800775147933,2017,3,30,1133.3178049774194,-1
201,2017-03-31,1034.74,-1,-3.164549999999963,-0.3048979792987672,2017,3,31,1133.3178049774194,-1
202,2017-04-01,1086.929571,1,52.18957099999989,5.043737653903385,2017,4,1,1210.6921404333334,-1
203,2017-04-02,1099.169125,1,12.239553999999998,1.1260668884681582,2017,4,2,1210.6921404333334,-1
204,2017-04-03,1079.99,-1,-19.179124999999885,-1.744874793494576,2017,4,3,1210.6921404333334,-1
205,2017-04-04,1141.600363,1,61.61036300000001,5.704716062185762,2017,4,4,1210.6921404333334,-1
206,2017-04-05,1133.079314,-1,-8.521048999999948,-0.7464126042854059,2017,4,5,1210.6921404333334,-1
207,2017-04-06,1133.53,1,0.4506859999999051,0.03977532679587027,2017,4,6,1210.6921404333334,-1
208,2017-04-07,1190.45425,1,56.92425000000003,5.021856501371824,2017,4,7,1210.6921404333334,-1
209,2017-04-08,1181.149838,-1,-9.304411999999957,-0.7815850126117787,2017,4,8,1210.6921404333334,-1
210,2017-04-09,1184.03,1,2.8801619999999275,0.24384391440774403,2017,4,9,1210.6921404333334,-1
211,2017-04-10,1207.744875,1,23.71487500000012,2.002894774625653,2017,4,10,1210.6921404333334,-1
212,2017-04-11,1226.617038,1,18.872163,1.5625951631548012,2017,4,11,1210.6921404333334,1
213,2017-04-12,1219.09,-1,-7.527038000000175,-0.6136420550845287,2017,4,12,1210.6921404333334,1
214,2017-04-13,1180.023713,-1,-39.066286999999875,-3.2045449474608008,2017,4,13,1210.6921404333334,-1
215,2017-04-14,1185.260057,1,5.236343999999917,0.4437490486261031,2017,4,14,1210.6921404333334,-1
216,2017-04-15,1170.36,-1,-14.90005700000006,-1.2571128936643194,2017,4,15,1210.6921404333334,-1
217,2017-04-16,1186.927413,1,16.567412999999988,1.4155826412385923,2017,4,16,1210.6921404333334,-1
218,2017-04-17,1205.634875,1,18.707462000000078,1.5761251947763448,2017,4,17,1210.6921404333334,-1
219,2017-04-18,1176.97,-1,-28.664874999999938,-2.37757513442865,2017,4,18,1210.6921404333334,-1
220,2017-04-19,1217.930088,1,40.96008800000004,3.480130164745069,2017,4,19,1210.6921404333334,1
221,2017-04-20,1241.686325,1,23.756236999999828,1.9505419263441193,2017,4,20,1210.6921404333334,1
222,2017-04-21,1236.63,-1,-5.056324999999788,-0.40721435826393504,2017,4,21,1210.6921404333334,1
223,2017-04-22,1261.311225,1,24.681224999999813,1.9958455641541777,2017,4,22,1210.6921404333334,1
224,2017-04-23,1257.988113,-1,-3.32311199999981,-0.26346487164575977,2017,4,23,1210.6921404333334,1
225,2017-04-24,1240.84,-1,-17.148113000000194,-1.3631379202070562,2017,4,24,1210.6921404333334,1
226,2017-04-25,1279.414688,1,38.57468800000015,3.108756003997305,2017,4,25,1210.6921404333334,1
227,2017-04-26,1309.109875,1,29.695187000000033,2.320997818652527,2017,4,26,1210.6921404333334,1
228,2017-04-27,1288.02,-1,-21.08987500000012,-1.6110087780065154,2017,4,27,1210.6921404333334,1
229,2017-04-28,1331.294429,1,43.274429000000055,3.359763745904571,2017,4,28,1210.6921404333334,1
230,2017-04-29,1334.979038,1,3.6846089999999094,0.2767689039882484,2017,4,29,1210.6921404333334,1
231,2017-04-30,1333.0,-1,-1.979037999999946,-0.14824487453861773,2017,4,30,1210.6921404333334,1
232,2017-05-01,1417.172813,1,84.1728129999999,6.314539609902468,2017,5,1,1882.5227660967741,-1
233,2017-05-02,1452.076288,1,34.90347500000007,2.462894763420788,2017,5,2,1882.5227660967741,-1
234,2017-05-03,1447.55,-1,-4.526288000000022,-0.3117114463892425,2017,5,3,1882.5227660967741,-1
235,2017-05-04,1508.292125,1,60.74212499999999,4.196202203723532,2017,5,4,1882.5227660967741,-1
236,2017-05-05,1533.335071,1,25.04294600000003,1.6603511736826198,2017,5,5,1882.5227660967741,-1
237,2017-05-06,1518.75,-1,-14.58507099999997,-0.951199204651856,2017,5,6,1882.5227660967741,-1
238,2017-05-07,1535.868429,1,17.118429000000106,1.1271393580246984,2017,5,7,1882.5227660967741,-1
239,2017-05-08,1640.619225,1,104.75079599999981,6.820297495678244,2017,5,8,1882.5227660967741,-1
240,2017-05-09,1651.1,1,10.480774999999994,0.638830439159336,2017,5,9,1882.5227660967741,-1
241,2017-05-10,1762.88625,1,111.78625000000011,6.770410635334027,2017,5,10,1882.5227660967741,-1
242,2017-05-11,1820.990563,1,58.10431300000005,3.2959763002292433,2017,5,11,1882.5227660967741,-1
243,2017-05-12,1829.0,1,8.009436999999934,0.4398395665930716,2017,5,12,1882.5227660967741,-1
244,2017-05-13,1771.920013,-1,-57.079987000000074,-3.1208303444505234,2017,5,13,1882.5227660967741,-1
245,2017-05-14,1776.3165,1,4.396486999999979,0.24811994716151892,2017,5,14,1882.5227660967741,-1
246,2017-05-15,1780.0,1,3.6835000000000946,0.20736732446048298,2017,5,15,1882.5227660967741,-1
247,2017-05-16,1739.031975,-1,-40.9680249999999,-2.3015744382022416,2017,5,16,1882.5227660967741,-1
248,2017-05-17,1807.485063,1,68.45308799999998,3.9362754097721506,2017,5,17,1882.5227660967741,-1
249,2017-05-18,1783.98,-1,-23.505063000000064,-1.3004291698536743,2017,5,18,1882.5227660967741,-1
250,2017-05-19,1961.520488,1,177.54048799999987,9.951932644984801,2017,5,19,1882.5227660967741,1
251,2017-05-20,2052.909788,1,91.38930000000005,4.659105044229345,2017,5,20,1882.5227660967741,1
252,2017-05-21,2008.84,-1,-44.06978800000002,-2.1466987130951325,2017,5,21,1882.5227660967741,1
253,2017-05-22,2090.662313,1,81.8223129999999,4.073112492781899,2017,5,22,1882.5227660967741,1
254,2017-05-23,2287.710288,1,197.0479750000004,9.425145982434918,2017,5,23,1882.5227660967741,1
255,2017-05-24,2256.32,-1,-31.390288000000055,-1.3721268888222113,2017,5,24,1882.5227660967741,1
256,2017-05-25,2387.206286,1,130.88628599999993,5.800874255424759,2017,5,25,1882.5227660967741,1
257,2017-05-26,2211.976857,-1,-175.22942899999998,-7.340355545628786,2017,5,26,1882.5227660967741,1
258,2017-05-27,2279.82,1,67.84314300000005,3.067081953651744,2017,5,27,1882.5227660967741,1
259,2017-05-28,2192.9808,-1,-86.83920000000035,-3.8090375555965097,2017,5,28,1882.5227660967741,1
260,2017-05-29,2275.9307,1,82.94990000000007,3.7825182965578215,2017,5,29,1882.5227660967741,1
261,2017-05-30,2290.02,1,14.089300000000094,0.619056634720912,2017,5,30,1882.5227660967741,1
262,2017-05-31,2285.933914,-1,-4.086085999999796,-0.1784301447148844,2017,5,31,1882.5227660967741,1
263,2017-06-01,2399.242671,1,113.30875699999979,4.9567818345950565,2017,6,1,2608.6601843000003,-1
264,2017-06-02,2409.93,1,10.687328999999863,0.44544593713587977,2017,6,2,2608.6601843000003,-1
265,2017-06-03,2525.765158,1,115.83515800000032,4.806577701427027,2017,6,3,2608.6601843000003,-1
266,2017-06-04,2516.173143,-1,-9.592015000000174,-0.37976670038458793,2017,6,4,2608.6601843000003,-1
267,2017-06-05,2529.53,1,13.356857000000218,0.5308401386112489,2017,6,5,2608.6601843000003,-1
268,2017-06-06,2883.313697,1,353.78369699999985,13.986143552359524,2017,6,6,2608.6601843000003,1
269,2017-06-07,2664.920863,-1,-218.39283400000022,-7.574369525842134,2017,6,7,2608.6601843000003,1
